 1;04-Oct-20 6:53:11 PM;0;admin;admin;Delete From Zamestnanec Where Zamestnanec_id = 7
 2;04-Oct-20 6:54:32 PM;0;admin;admin;Delete From Zamestnanec Where Zamestnanec_id = 8
 3;04-Oct-20 6:54:32 PM;0;admin;admin;Delete From Zamestnanec Where Zamestnanec_id = 5
 4;04-Oct-20 6:54:32 PM;0;admin;admin;Delete From Zamestnanec Where Zamestnanec_id = 4
 5;04-Oct-20 7:05:06 PM;0;admin;admin;Delete From Zamestnanec Where Zamestnanec_id = 14
 6;04-Oct-20 7:05:27 PM;0;admin;admin;Insert into Zamestnanec  Values ( 22 , None  Peter  Balog  78  818644241  None  None 
 7;04-Oct-20 7:09:16 PM;0;admin;admin;Insert into Project  Values ( 2 , 1  Frontend  Peto 
 8;04-Oct-20 7:14:14 PM;0;admin;admin;Update Project set divizia_id = 1 project_nazov = Frontend project_veduci = Juraj Where {nazov}_id = {indexy[i]}
 9;04-Oct-20 7:14:27 PM;0;admin;admin;Insert into Project  Values ( 3 , 1  BackEnd  Peto 
 10;04-Oct-20 7:14:32 PM;0;admin;admin;Delete From Project Where project_id = 2
 11;04-Oct-20 7:14:44 PM;0;admin;admin;Insert into Project  Values ( 3 , 2  Frontend  Juraj 
 12;04-Oct-20 7:14:47 PM;0;admin;admin;Insert into Project  Values ( 4 , 3  Frontend  Juraj 
 13;04-Oct-20 7:14:50 PM;0;admin;admin;Insert into Project  Values ( 5 , 4  Frontend  Juraj 
 14;04-Oct-20 7:15:02 PM;0;admin;admin;Delete From Project Where project_id = 4
 15;04-Oct-20 7:15:02 PM;0;admin;admin;Delete From Project Where project_id = 3
 16;04-Oct-20 7:15:04 PM;0;admin;admin;Insert into Project  Values ( 4 , 1  Frontend  Juraj 
 17;04-Oct-20 7:15:06 PM;0;admin;admin;Insert into Project  Values ( 5 , 1  Frontend  Juraj 
 18;04-Oct-20 7:15:13 PM;0;admin;admin;Update Project set divizia_id = 3 project_nazov = None project_veduci = None Where {nazov}_id = {indexy[i]}
 19;04-Oct-20 7:15:13 PM;0;admin;admin;Update Project set divizia_id = 3 project_nazov = None project_veduci = None Where {nazov}_id = {indexy[i]}Where {nazov}_id = {indexy[i]}
 20;04-Oct-20 7:15:31 PM;0;admin;admin;Update Project set divizia_id = 3 project_nazov = Angular project_veduci = Martin Where {nazov}_id = {indexy[i]}
 21;04-Oct-20 7:15:31 PM;0;admin;admin;Update Project set divizia_id = 3 project_nazov = Angular project_veduci = Martin Where {nazov}_id = {indexy[i]}Where {nazov}_id = {indexy[i]}
 22;04-Oct-20 7:15:43 PM;0;admin;admin;Select *  From Project  Order By project_nazov 
 23;04-Oct-20 7:17:13 PM;0;admin;admin;Insert into Odelenie  Values ( 2 , 1  Vychod  Marek 
 24;04-Oct-20 8:31:59 PM;1;Tibor;Pen;Insert into Zamestnanec  Values ( 23 , Ing  Juraj  Pen  66  453877696  None  None 
 25;04-Oct-20 8:32:18 PM;1;Tibor;Pen;Insert into Zamestnanec  Values ( 24 , Ing  Peter  Suhaj  66  453877696  None  None 
 26;04-Oct-20 8:32:26 PM;1;Tibor;Pen;Delete From Zamestnanec Where Zamestnanec_id = 23
 27;04-Oct-20 8:54:09 PM;0;admin;admin;Insert into Odelenie  Values ( 3 , 100  Zapad  Marek 
 28;04-Oct-20 9:08:51 PM;0;admin;admin;Update Zamestnanec set zamestnanec_titul = Ing zamestnanec_meno = Michal zamestnanec_priezvisko = Wong zamestnanec_vek = 24 zamestnanec_telefon = 131982650 zamestnanec_email = None zamestnanec_zaradenie = None Where {nazov}_id = {indexy[i]}
 29;04-Oct-20 9:09:28 PM;13;Michal;Wong;Insert into Zamestnanec  Values ( 24 , Ing  Peter  Pan  66  453877696  None  None 
 30;04-Oct-20 9:09:36 PM;13;Michal;Wong;Insert into Zamestnanec  Values ( 25 , Ing  Kali  Record  100  453877696  None  None 
 31;04-Oct-20 9:09:41 PM;13;Michal;Wong;Delete From Zamestnanec Where Zamestnanec_id = 23
 32;06-Oct-20 2:33:49 PM;0;admin;admin;Insert into Odelenie  Values ( 3 , 2  Vychod  vymazat 
 33;06-Oct-20 2:34:12 PM;0;admin;admin;Delete From Project Where project_id = 2
 34;06-Oct-20 2:35:12 PM;0;admin;admin;Insert into Odelenie  Values ( 3 , 4  Vychod  Marek 
 35;06-Oct-20 2:35:22 PM;0;admin;admin;Insert into Odelenie  Values ( 4 , 99  Vychod  Marek 
 36;06-Oct-20 2:36:26 PM;0;admin;admin;Insert into Odelenie  Values ( 4 , 99  Vychod  Marek 
 37;06-Oct-20 3:05:23 PM;0;admin;admin;Delete From Zamestnanec Where Zamestnanec_id = 10
